"TEAM","GAME","FG","FGA","FG%","3P","3PA","3P%","FT","FTA","FT%","ORB","DRB","TRB","AST","STL","BLK","TOV","PF"
14,"1","40","76",".526","11","20",".550","10","16",".625","4","36","40","25","3","6","15","18"
14,"2","38","94",".404","5","21",".238","10","14",".714","12","38","50","20","7","0","12","18"
14,"3","47","94",".500","6","12",".500","5","8",".625","12","23","35","24","6","2","12","25"
14,"4","40","86",".465","4","16",".250","18","20",".900","8","31","39","27","14","9","16","22"
14,"5","41","85",".482","6","16",".375","11","15",".733","6","33","39","25","5","7","14","17"
14,"6","31","79",".392","5","19",".263","9","18",".500","11","31","42","19","9","3","12","18"
14,"7","41","76",".539","12","28",".429","26","30",".867","9","42","51","22","5","4","13","19"
14,"8","44","89",".494","13","28",".464","8","11",".727","11","39","50","29","9","2","12","15"
14,"9","39","77",".506","8","22",".364","6","8",".750","5","42","47","28","6","4","17","14"
14,"10","35","76",".461","4","15",".267","17","22",".773","7","36","43","19","8","5","17","15"
14,"11","39","81",".481","8","21",".381","18","24",".750","7","34","41","27","12","6","11","14"
14,"12","42","79",".532","7","17",".412","11","16",".688","11","30","41","25","8","3","15","18"
14,"13","46","80",".575","16","24",".667","18","23",".783","6","31","37","30","9","5","15","17"
14,"14","44","81",".543","10","25",".400","14","19",".737","7","38","45","30","12","7","19","18"
14,"15","36","92",".391","7","27",".259","9","14",".643","12","33","45","19","11","3","12","16"
14,"16","42","76",".553","8","17",".471","17","17","1.000","7","36","43","24","10","4","19","12"
14,"17","44","91",".484","9","26",".346","9","13",".692","4","29","33","27","8","9","15","19"
14,"18","42","78",".538","6","18",".333","12","17",".706","9","39","48","27","6","8","17","10"
14,"19","41","91",".451","13","26",".500","5","6",".833","10","24","34","24","6","1","11","21"
14,"20","45","82",".549","13","23",".565","13","16",".813","8","28","36","30","8","3","14","18"
14,"21","46","88",".523","4","17",".235","13","17",".765","17","35","52","25","8","2","15","21"
14,"22","48","87",".552","10","22",".455","11","13",".846","7","35","42","32","8","7","13","18"
14,"23","41","88",".466","8","20",".400","10","12",".833","11","44","55","24","6","1","10","15"
14,"24","37","76",".487","6","18",".333","12","21",".571","9","27","36","20","8","3","22","27"
14,"25","41","87",".471","7","18",".389","19","24",".792","14","32","46","23","10","4","18","17"
14,"26","40","89",".449","11","27",".407","13","19",".684","9","30","39","21","10","2","19","11"
14,"27","35","82",".427","9","19",".474","21","26",".808","7","30","37","25","7","4","11","18"
14,"28","41","91",".451","9","23",".391","21","27",".778","16","34","50","27","7","7","13","22"
14,"29","37","91",".407","5","20",".250","19","23",".826","14","32","46","18","6","9","9","13"
14,"30","37","75",".493","7","16",".438","35","42",".833","8","38","46","22","9","6","18","25"
14,"31","44","94",".468","8","24",".333","16","19",".842","10","34","44","29","5","4","4","17"
14,"32","40","78",".513","9","20",".450","24","28",".857","14","33","47","27","8","6","15","17"
14,"33","37","77",".481","14","32",".438","13","19",".684","9","25","34","29","5","4","12","16"
14,"34","50","90",".556","4","18",".222","12","16",".750","11","31","42","34","5","4","12","20"
14,"35","43","83",".518","7","24",".292","17","25",".680","9","35","44","24","9","5","17","16"
14,"36","40","76",".526","9","20",".450","23","26",".885","12","43","55","25","6","3","16","10"
14,"37","42","74",".568","9","13",".692","11","14",".786","7","39","46","31","6","10","20","19"
14,"38","35","67",".522","5","12",".417","26","31",".839","3","38","41","19","6","7","13","19"
14,"39","43","80",".538","7","16",".438","16","18",".889","3","31","34","29","6","6","11","18"
14,"40","38","84",".452","8","20",".400","16","20",".800","7","34","41","21","7","3","12","17"
14,"41","43","76",".566","11","18",".611","13","21",".619","7","48","55","28","6","8","15","16"
14,"42","40","75",".533","10","22",".455","15","22",".682","8","22","30","25","10","3","17","17"
14,"43","41","84",".488","11","18",".611","12","17",".706","15","39","54","26","7","6","22","21"
14,"44","38","76",".500","6","22",".273","19","23",".826","6","22","28","24","8","4","12","17"
14,"45","35","82",".427","6","23",".261","14","21",".667","13","26","39","23","6","8","11","31"
14,"46","33","71",".465","5","13",".385","15","16",".938","6","25","31","16","5","2","19","23"
14,"47","36","75",".480","6","22",".273","17","26",".654","7","35","42","23","4","7","13","19"
14,"48","38","81",".469","5","18",".278","21","25",".840","5","29","34","20","9","12","7","16"
14,"49","48","98",".490","9","28",".321","20","25",".800","11","42","53","30","8","9","20","27"
14,"50","29","73",".397","7","21",".333","24","29",".828","8","30","38","14","8","7","17","12"
14,"51","36","77",".468","8","21",".381","24","28",".857","7","36","43","24","7","6","13","16"
14,"52","43","82",".524","5","17",".294","9","11",".818","8","30","38","27","2","3","19","18"
14,"53","41","82",".500","9","19",".474","13","14",".929","6","34","40","24","9","2","9","19"
14,"54","44","88",".500","9","20",".450","16","21",".762","12","36","48","26","5","4","17","28"
14,"55","43","88",".489","9","24",".375","16","21",".762","9","31","40","16","9","5","14","20"
14,"56","29","83",".349","2","21",".095","25","27",".926","15","32","47","12","5","0","18","17"
14,"57","44","82",".537","9","19",".474","23","25",".920","9","28","37","34","10","7","18","16"
14,"58","34","73",".466","9","20",".450","15","15","1.000","4","40","44","26","4","8","19","15"
14,"59","39","84",".464","10","27",".370","24","28",".857","11","35","46","28","5","6","13","14"
14,"60","43","90",".478","14","33",".424","22","24",".917","7","35","42","39","12","10","11","18"
14,"61","40","79",".506","9","23",".391","22","26",".846","8","37","45","30","9","5","17","17"
14,"62","43","81",".531","9","20",".450","26","35",".743","8","36","44","26","4","8","13","15"
14,"63","40","79",".506","12","21",".571","12","15",".800","5","33","38","25","6","3","11","26"
14,"64","38","88",".432","11","24",".458","16","22",".727","15","40","55","21","11","2","12","21"
14,"65","48","98",".490","13","27",".481","10","13",".769","18","46","64","36","7","8","15","19"
14,"66","49","78",".628","10","16",".625","14","19",".737","4","36","40","31","4","5","12","19"
14,"67","50","95",".526","12","27",".444","13","16",".813","9","43","52","34","9","6","12","21"
14,"68","36","93",".387","5","25",".200","22","27",".815","13","39","52","18","7","7","9","17"
14,"69","35","89",".393","10","28",".357","19","25",".760","9","31","40","24","10","6","11","18"
14,"70","44","79",".557","13","27",".481","12","16",".750","6","41","47","31","9","4","17","17"
14,"71","43","88",".489","8","20",".400","14","20",".700","13","30","43","30","11","6","21","18"
14,"72","55","98",".561","13","24",".542","10","14",".714","11","40","51","37","6","10","14","25"
14,"73","37","78",".474","9","21",".429","13","20",".650","9","37","46","24","7","11","13","16"
14,"74","37","80",".463","8","17",".471","21","25",".840","15","25","40","18","10","5","8","19"
14,"75","44","83",".530","4","19",".211","19","22",".864","8","37","45","29","6","2","13","12"
14,"76","38","88",".432","9","22",".409","9","12",".750","13","29","42","18","5","3","18","18"
14,"77","43","77",".558","9","22",".409","17","18",".944","6","34","40","27","7","3","15","16"
14,"78","36","81",".444","4","17",".235","15","25",".600","11","26","37","19","8","7","16","22"
14,"79","38","88",".432","16","34",".471","17","22",".773","15","33","48","22","9","1","12","22"
14,"80","43","96",".448","13","30",".433","13","16",".813","11","31","42","24","10","5","7","15"
14,"81","39","89",".438","4","17",".235","16","18",".889","8","35","43","24","3","2","6","23"
14,"82","41","99",".414","10","30",".333","8","10",".800","10","39","49","25","3","6","9","19"